job_id,animation,direction,direction_set,required_directions,frame_count,subject_size,frame_profile,status,base_folder,base_sources,generated_pose,raw_output,normalized_output,preview,gif,local_tools,qa_notes
idle_south,idle,south,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\south.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_south_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_south_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_south_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_south.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_south_measure_source.py;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_south_rebuild_wide_source.py;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_south_normalize_preview_gif.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_south_qa.md
idle_southeast,idle,southeast,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\south.png;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\east.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_southeast_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_southeast_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_southeast_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_southeast.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_southeast_qa.md
idle_east,idle,east,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\east.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_east_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_east_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_east_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_east.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_east_qa.md
idle_northeast,idle,northeast,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\north.png;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\east.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_northeast_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_northeast_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_northeast_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_northeast.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_northeast_qa.md
idle_north,idle,north,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\north.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_north_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_north_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_north_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_north.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_north_qa.md
idle_northwest,idle,northwest,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\north.png;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\west.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_northwest_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_northwest_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_northwest_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_northwest.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_northwest_qa.md
idle_west,idle,west,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\west.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_west_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_west_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_west_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_west.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_west_qa.md
idle_southwest,idle,southwest,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,5,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\south.png;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\west.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\idle_southwest_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\raw\idle_southwest_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\preview\idle_southwest_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\gif\idle_southwest.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\tools\idle_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\idle\qa\idle_southwest_qa.md
walk_south,walk,south,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,8,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\south.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\walk_south_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\raw\walk_south_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\preview\walk_south_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\gif\walk_south.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\tools\walk_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\qa\walk_south_qa.md
walk_southeast,walk,southeast,8_directional,south;southeast;east;northeast;north;northwest;west;southwest,8,default,default_128,approved,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\south.png;D:\projects\MotherSeed2D\assets\monsters\shroom_boy\base\east.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\walk_southeast_job_prompt.md,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\raw\walk_southeast_raw.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\frames,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\preview\walk_southeast_preview.png,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\gif\walk_southeast.gif,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\tools\walk_pipeline_helper.py,D:\projects\MotherSeed2D\assets\monsters\shroom_boy\walk\qa\walk_southeast_qa.md
